matlab_file,python_file,status
fileIO/BuildFileStructure.m,fileIO/BuildFileStructure.py,translated
fileIO/CatBinaryFiles.m,fileIO/CatBinaryFiles.py,translated
fileIO/LoadByteStream.m,fileIO/LoadByteStream.py,translated_python_pickle_equivalent
fileIO/LoadCodebook.m,fileIO/LoadCodebook.py,translated
fileIO/LoadDataOrganization.m,fileIO/LoadDataOrganization.py,translated
fileIO/LoadSplitByteStream.m,fileIO/LoadSplitByteStream.py,translated_python_pickle_equivalent
fileIO/LoadSplitByteStreamHeader.m,fileIO/LoadSplitByteStreamHeader.py,translated_python_pickle_equivalent
fileIO/ReadBinaryFile.m,fileIO/ReadBinaryFile.py,translated
fileIO/ReadBinaryFileHeader.m,fileIO/ReadBinaryFileHeader.py,translated
fileIO/SaveAsByteStream.m,fileIO/SaveAsByteStream.py,translated_python_pickle_equivalent
fileIO/SaveFigure.m,fileIO/SaveFigure.py,translated_matplotlib_equivalent
fileIO/SaveSplitByteStream.m,fileIO/SaveSplitByteStream.py,translated_python_pickle_equivalent
fileIO/SetFigureSavePath.m,fileIO/SetFigureSavePath.py,translated
fileIO/WriteBinaryFile.m,fileIO/WriteBinaryFile.py,translated
fileIO/WriteCodebook.m,fileIO/WriteCodebook.py,translated_with_documented_signature_fix
fileIO/deprecated/BuildImageDataStructures.m,fileIO/deprecated/BuildImageDataStructures.py,translated
fileIO/deprecated/CreateImageDataStructure.m,fileIO/deprecated/CreateImageDataStructure.py,translated_with_external_dependency_replacement
fileIO/deprecated/CreateWordsStructure.m,fileIO/deprecated/CreateWordsStructure.py,translated_with_external_dependency_replacement
