matlab_file,python_file,purpose_use,status
misc/PageBreak.m,deprecated/misc/PageBreak.py,Prints/returns a horizontal separator line for console reports.,translated_python_logic
misc/PlotCorr2.m,deprecated/misc/PlotCorr2.py,Computes Pearson correlation on linear and log10 values and creates a correlation plot.,translated_python_logic
misc/StringFind.m,deprecated/misc/StringFind.py,Searches cell-string lists for exact or substring matches.,translated_python_logic
probe_construction/AddCntrlSeqs.m,deprecated/probe_construction/AddCntrlSeqs.py,Adds random no-target controls and blank controls into picked probe-gene structures.,translated_python_logic
probe_construction/AssembleProbes.m,deprecated/probe_construction/AssembleProbes.py,"Assembles a MERFISH probe library from ProbeData, primers, readouts, controls, and SECDED codebook.",translated_python_logic
probe_construction/BatchLaunchOligoArray.m,deprecated/probe_construction/BatchLaunchOligoArray.py,Splits gene FASTA entries and launches/records OligoArray commands per gene.,translated_python_logic
probe_construction/BuildBLASTlib.m,deprecated/probe_construction/BuildBLASTlib.py,Builds a nucleotide BLAST database from a FASTA file.,translated_python_logic
probe_construction/CompileOligoArrayOutput.m,deprecated/probe_construction/CompileOligoArrayOutput.py,Parses OligoArray output files into a ProbeData structure.,translated_python_logic
probe_construction/GenProbe.m,deprecated/probe_construction/GenProbe.py,"Builds oligo sequences and FASTA output from codebook, probes, readouts, and primers.",translated_python_logic
probe_construction/OligoArrayCmd.m,deprecated/probe_construction/OligoArrayCmd.py,Constructs the Java OligoArray command string and save path.,translated_python_logic
probe_construction/WriteFasta.m,deprecated/probe_construction/WriteFasta.py,Writes FASTA records from headers/sequences or MATLAB-style structures.,translated_python_logic
reports/GenerateBitFlipReport.m,deprecated/reports/GenerateBitFlipReport.py,Estimates per-hybridization bit-flip probabilities from observed codeword counts.,translated_python_logic
reports/GenerateCompositeImage.m,deprecated/reports/GenerateCompositeImage.py,Generates cell word-overlay composite figures from decoded words and image metadata.,translated_python_logic
reports/GenerateFPKMReport.m,deprecated/reports/GenerateFPKMReport.py,Compares decoded gene counts against FPKM values and calculates correlation.,translated_python_logic
reports/GenerateHammingSphereReport.m,deprecated/reports/GenerateHammingSphereReport.py,Counts words in Hamming spheres around exact codewords and computes confidence ratios.,translated_python_logic
reports/GenerateMoleculeStatsReport.m,deprecated/reports/GenerateMoleculeStatsReport.py,Summarizes per-hybridization molecule intensity/background/height and spatial offsets.,translated_python_logic
reports/GenerateOnBitHistograms.m,deprecated/reports/GenerateOnBitHistograms.py,"Creates histograms of number of on-bits per word, globally and by cell.",translated_python_logic
